ID,label
0,7
1,3
2,6
3,2
4,1
5,1
6,2
7,0
8,0
9,4
10,6
11,6
12,6
13,3
14,5
15,3
16,7
17,6
18,9
19,1
20,8
21,0
22,2
23,5
24,0
25,8
26,0
27,2
28,8
29,4
30,8
31,8
32,1
33,9
34,1
35,5
36,5
37,3
38,9
39,9
40,6
41,1
42,5
43,0
44,0
45,5
46,7
47,1
48,8
49,4
50,4
51,2
52,1
53,4
54,8
55,9
56,2
57,4
58,8
59,9
60,1
61,1
62,1
63,0
64,9
65,1
66,5
67,1
68,1
69,6
70,4
71,7
72,1
73,4
74,8
75,3
76,7
77,5
78,6
79,4
80,9
81,8
82,1
83,2
84,3
85,8
86,0
87,6
88,3
89,4
90,2
91,4
92,4
93,7
94,5
95,8
96,9
97,3
98,3
99,6
100,9
101,8
102,2
103,5
104,1
105,4
106,7
107,4
108,9
109,2
110,0
111,9
112,8
113,5
114,9
115,7
116,1
117,2
118,8
119,0
120,8
121,9
122,4
123,3
124,1
125,4
126,8
127,4
128,5
129,6
130,4
131,5
132,8
133,9
134,8
135,3
136,9
137,6
138,5
139,5
140,2
141,6
142,6
143,2
144,8
145,0
146,1
147,8
148,5
149,1
150,9
151,8
152,1
153,8
154,8
155,6
156,2
157,9
158,3
159,0
160,0
161,6
162,0
163,3
164,5
165,6
166,0
167,1
168,8
169,9
170,4
171,3
172,8
173,4
174,6
175,5
176,1
177,5
178,5
179,1
180,1
181,4
182,8
183,7
184,8
185,5
186,7
187,8
188,5
189,6
190,0
191,4
192,3
193,3
194,2
195,5
196,6
197,3
198,8
199,8
200,4
201,5
202,3
203,6
204,9
205,1
206,5
207,4
208,1
209,6
210,8
211,2
212,2
213,3
214,7
215,2
216,1
217,3
218,4
219,6
220,1
221,7
222,5
223,8
224,6
225,2
226,7
227,3
228,7
229,5
230,6
231,3
232,1
233,6
234,0
235,6
236,0
237,0
238,4
239,1
240,7
241,8
242,6
243,2
244,7
245,9
246,2
247,0
248,3
249,4
250,9
251,9
252,1
253,1
254,3
255,4
256,1
257,6
258,6
259,6
260,0
261,8
262,4
263,9
264,1
265,8
266,2
267,4
268,8
269,1
270,5
271,7
272,0
273,4
274,1
275,9
276,8
277,2
278,7
279,8
280,6
281,7
282,8
283,9
284,1
285,6
286,4
287,9
288,4
289,2
290,5
291,9
292,2
293,6
294,6
295,2
296,6
297,8
298,4
299,8
300,3
301,5
302,6
303,1
304,7
305,2
306,1
307,0
308,8
309,9
310,9
311,4
312,1
313,1
314,8
315,1
316,6
317,7
318,1
319,3
320,6
321,7
322,3
323,3
324,8
325,2
326,1
327,6
328,0
329,6
330,3
331,2
332,5
333,6
334,1
335,1
336,7
337,7
338,3
339,3
340,9
341,0
342,3
343,0
344,9
345,4
346,1
347,3
348,6
349,8
350,6
351,9
352,7
353,8
354,5
355,8
356,9
357,5
358,5
359,1
360,3
361,4
362,5
363,1
364,9
365,1
366,6
367,5
368,6
369,4
370,4
371,1
372,8
373,1
374,3
375,0
376,3
377,1
378,7
379,7
380,5
381,4
382,5
383,7
384,6
385,4
386,1
387,7
388,7
389,0
390,7
391,6
392,7
393,4
394,8
395,0
396,2
397,1
398,2
399,1
400,5
401,6
402,4
403,4
404,6
405,9
406,0
407,6
408,4
409,3
410,6
411,4
412,1
413,0
414,1
415,2
416,4
417,3
418,0
419,9
420,0
421,4
422,4
423,1
424,6
425,6
426,3
427,7
428,0
429,5
430,8
431,9
432,4
433,7
434,1
435,2
436,2
437,9
438,2
439,8
440,0
441,9
442,2
443,3
444,7
445,4
446,4
447,0
448,4
449,1
450,3
451,1
452,8
453,0
454,6
455,9
456,3
457,2
458,2
459,1
460,6
461,2
462,2
463,7
464,0
465,5
466,7
467,2
468,9
469,2
470,9
471,7
472,4
473,1
474,5
475,2
476,0
477,1
478,1
479,1
480,2
481,6
482,8
483,2
484,7
485,0
486,4
487,5
488,6
489,0
490,8
491,8
492,2
493,5
494,9
495,1
496,6
497,4
498,3
499,0
500,6
501,6
502,9
503,2
504,5
505,0
506,7
507,6
508,7
509,9
510,9
511,2
512,0
513,8
514,3
515,6
516,9
517,9
518,1
519,5
520,3
521,0
522,9
523,4
524,6
525,2
526,2
527,2
528,0
529,5
530,4
531,7
532,2
533,5
534,8
535,4
536,8
537,3
538,8
539,4
540,5
541,9
542,5
543,2
544,5
545,7
546,6
547,1
548,1
549,1
550,6
551,0
552,8
553,8
554,7
555,2
556,6
557,1
558,8
559,4
560,3
561,8
562,9
563,7
564,4
565,8
566,7
567,2
568,1
569,9
570,5
571,6
572,5
573,7
574,7
575,2
576,1
577,1
578,4
579,2
580,7
581,7
582,7
583,3
584,7
585,4
586,8
587,7
588,7
589,0
590,2
591,5
592,8
593,8
594,2
595,7
596,2
